line,OE,ME
809,ðá þæt onfunde             sé þe fela aéror,"then he found,             he who before many,"
810,módes myrðe             manna cynne,"miseries in his mind,             on mankind"
811,"fyrene gefremede              he, fág wið god ","atrocities committed              he, who fought with God "
812,þæt him se líchoma             laéstan nolde,"that him his body-shell             would not obey,"
813,ac hine se módega             maég Hygeláces,but him the daring             kinsman of Hygelac
814,hæfde be honda·             wæs gehwæþer óðrum,had by the hand;             each was by the other
815,lifigende láð·             lícsár gebád,"loathed while living;             body-pain he felt,"
816,atol aéglaéca·             him on eaxle wearð,the awful ogre;             on his shoulder was
817,syndolh sweotol·             seonowe onsprungon·,"a great wound apparent,             sinows sprang asunder,"
818,burston bánlocan·             Béowulfe wearð,bone-locks burst;      to Beowulf was 
819,gúðhréð gyfeþe·             scolde Grendel þonan,war-glory given;             thence Grendel had to
820,"feorhséoc fléön             under fenhleoðu,","flee sick        unto death      under the hills of the fen,"
821,sécean wynléas wíc·             wiste þé geornor,to seek his joyless abode;             he knew it more surely
822,þæt his aldres wæs             ende gegongen,"that was his life's             end arrived,"
823,dógera dægrím.             Denum eallum wearð,"the day-count of his days.             For the Danes were all,"
824,æfter þám wælraése             willa gelumpen:,"after that slaughter-storm,             wishes come to pass:"
825,hæfde þá gefaélsod             sé þe aér feorran cóm,"he had then cleansed,             he who had before come from afar,"
826,"snotor ond swýðferhð             sele Hróðgáres,","shrewd and strong-minded,             the hall of Hrothgar,"
827,genered wið níðe·             nihtweorce gefeh,"rescued from ruin;             in his night's work he rejoiced,"
828,ellenmaérþum·             hæfde Éast-Denum,in valour from great deeds;             to the East-Danes had
829,Géatmecga léod             gilp gelæsted·,"the Geatmen's leader,             his oath fulfilled;"
830,swylce oncýþðe             ealle gebétte,"so too anguish             all remedied,"
831,inwidsorge      þé        híe aér drugon,"grievous sorrow,             that they had ere endured,"
832,ond for þréanýdum             þolian scoldon,"and in hard distress             had to suffer,"
833,torn unlýtel·             þæt wæs tácen sweotol,"no small misery;             that was a clear sign,"
