1 Hwæt! Wé Gárdena     in géardagum
3096 bæd þæt gé geworhton     æfter wines daédum
3097 in baélstede     beorh þone héän
3098 micelne ond maérne     swá hé manna wæs
3099 wígend weorðfullost     wíde geond eorðan
3100 þenden hé burhwelan     brúcan móste.
3101 Uton nú efstan     óðre síðe
3102 séon ond sécean     on searogeþræc
3103 wundur under wealle·     ic éow wísige
3104 þæt gé genóge     néon scéawiað
3105 béagas ond brád gold·     síe sío baér gearo
3106 aédre geæfned     þonne wé út cymen
3107 ond þonne geferian     fréan úserne
3108 léofne mannan     þaér hé longe sceal
3109 on ðæs waldendes     waére geþolian.'
3110 Hét ðá gebéodan     byre Wíhstánes
3111 hæle hildedíor     hæleða monegum
3112 boldágendra     þæt híe baélwudu
3113 feorran feredon     folcágende
3114 gódum tógénes:     'Nú sceal gléd fretan,
3115 weaxan wonna lég     wigena strengel
3116 þone ðe oft gebád     ísernscúre
3117 þonne straéla storm     strengum gebaéded
3118 scóc ofer scildweall·     sceft nytte héold
3119 fæðergearwum fús·     fláne fulléode.'
3120 Húru se snotra     sunu Wíhstánes
3121 ácígde of corðre     cyniges þegnas
3122 syfone tósomne     þá sélestan·
3123 éode eahta sum     under inwithróf
3124 hilderinc· sum     on handa bær
3125 aéledléoman     sé ðe on orde géong.
3126 Næs ðá on hlytme     hwá þæt hord strude
3127 syððan orwearde     aénigne daél
3128 secgas geségon     on sele wunian
3129 laéne licgan·     lýt aénig mearn
3130 þæt hí ofostlíce     út geferedon
3131 dýre máðmas·     dracan éc scufun
3132 wyrm ofer weallclif·     léton wég niman,
3133 flód fæðmian     frætwa hyrde·
3134 þæt wæs wundengold     on waén hladen
3135 aéghwæs unrím,     æþelinge boren
3136 hárum hilde     tó hrones_næsse.
3137 Him ðá gegiredan     Géata léode
3138 ád on eorðan     unwáclícne
3139 helmum behongen     hildebordum
3140 beorhtum byrnum     swá hé béna wæs·
3141 álegdon ðá tómiddes     maérne þéoden
3142 hæleð híofende     hláford_léofne·
3143 ongunnon þá on beorge     baélfýra maést
3144 wígend weccan·     wuduréc ástáh
3145 sweart ofer swioðole     swógende lég
3146 wópe bewunden     —windblond gelæg—
3147 oð_þæt hé ðá bánhús     gebrocen hæfde
3148 hát on hreðre·     higum unróte
3149 módceare maéndon     mondryhtnes cwealm·
3150 swylce giómorgyd     Géatisc ánméowle
3151 Bíowulfe brægd     bundenheorde
3152 sang sorgcearig·     saélðe geneahhe
3153 þæt hío hyre hearmdagas     hearde ondréde
3154 wælfylla worn     werudes egesan
3155 hýðo ond hæftnýd.     Heofon réce swealg·
3156 geworhton ðá     Wedra léode
3157 hlaéo on hóe     sé wæs héah ond brád
3158 waéglíðendum     wíde gesýne
3159 ond betimbredon     on týn dagum
3160 beadurófes bécn·     bronda láfe
3161 wealle beworhton     swá hyt weorðlícost
3162 foresnotre men     findan mihton·
3163 hí on beorg dydon     bég ond siglu
3164 eall swylce hyrsta     swylce on horde aér
3165 níðhédige men     genumen hæfdon·
3166 forléton eorla gestréon     eorðan healdan
3167 gold on gréote     þaér hit nú gén lifað
3168 eldum swá unnyt     swá hyt aérer wæs.
3169 Þá ymbe hlaéw riodan,     hildedéore
3170 æþelinga bearn     ealra twelfa·
3171 woldon cearge cwíðan     @ kyning maénan,
3172 wordgyd wrecan     ond ymb wer sprecan·
3173 eahtodan eorlscipe     ond his ellenweorc
3174 duguðum démdon.     Swá hit gedéfe bið
3175 þæt mon his winedryhten     wordum herge·
3176 ferhðum fréoge     þonne hé forð scile
3177 of líchaman     laéded weorðan·
3178 swá begnornodon     Géata léode
3179 hláfordes hryre,     heorðgenéatas:
3180 cwaédon þæt hé waére     wyruldcyning
3181 manna mildust     ond monðwaérust
3182 léodum líðost     ond lofgeornost.
